ID;AR;DE;EL;EN;ES;FI;FR;IT;JA;NL;PL;PT;RO;RU;SI;TR;UK;ZH
day-screen.locations.empty;لم تضف أي مواقع لهذا اليوم.;Du hast für diesen Tag noch keine Orte hinzugefügt.;Δεν έχεις προσθέσει τοποθεσίες για αυτήν την ημέρα.;You haven’t added any location for this day.;No has añadido ninguna localización para este día.;Et ole lisännyt yhtään sijaintia tälle päivälle.;Tu n'as pas ajouté de lieux pour cette journée.;Non hai aggiunto alcuna località per questo giorno.;この日の場所は追加されていません。;Er is nog geen locatie toegevoegd.;Nie dodałeś żadnych lokalizacji na ten dzień.;;Nu ai adăugat nicio locație pentru această zi.;Вы не добавили ни одного места за этот день.;ඔබ මේ දිනය සඳහා කිසිදු ස්ථානයක් එකතු කර නැත.;Bu gün için herhangi bir yer eklemediniz.;Ви не додали жодного місцезнаходження в цей день.;您当天没有添加任何地点。
day-screen.persons.empty;لم تقم بإضافة أي أشخاص لهذا اليوم.;Du hast für diesen Tag noch keine Personen hinzugefügt.;Δεν έχεις προσθέσει καμία επαφή για αυτήν την ημέρα.;You have not added any person for this day.;No ha añadido ninguna persona para este día.;Et ole lisännyt yhteystietoja tälle päivälle.;Tu n'as ajouté aucune personne pour cette journée.;Non hai aggiunto persone per questo giorno.;この日は連絡先を追加していません。;U heeft geen personen toegevoegd voor deze dag.;Nie dodałeś żadnych osób na ten dzień.;;Nu ai adăugat nicio persoană pentru această zi.;Вы не добавили ни одного человека за этот день.;ඔබ මේ දිනය සඳහා කිසිදු පුද්ගලයෙකු එකතු කර නැත.;Bu gün için hiç kişi eklemediniz.;Ви не додали жодної людини за цей день.;您今天没有添加任何联系人。
directory-screen.alerts.import-persons.missing-permission.message;;Erlaube der App den Zugriff auf deine Kontakte in den Privatsphäre Einstellungen deines Gerätes.;;Allow the app to access your contacts in the privacy settings of your device.;;;;;;;;;;;;;;
directory-screen.alerts.import-persons.missing-permission.title;إذن مفقود;Fehlende Berechtigung;Δεν υπάρχει άδεια;Missing permission;Falta el permiso;Puuttuu lupa;Permission manquante;Permesso mancante;不足している許可;Ontbrekende toestemming;Brakujące pozwolenie;;Lipsește permisiunea;Пропавшее разрешение;අවසරය නොමැත;Eksik izin;Відсутній дозвіл;未获许可
directory-screen.header.button.import;استيراد;Import;Εισαγωγή;Import;Importación;Tuonti;Importation;Importazione;インポート;Importeren;Import;;Import;Импорт;ආනයන;Aktar ;Імпорт;导入
directory-screen.header.headline;إدارة الدليل;Verzeichnis verwalten;Διαχείριση καταλόγου;Manage directory;Administrar el directorio;Hallinnoi hakemistoa;Gérer le répertoire;Gestire l'elenco;ディレクトリの管理;Directory beheren;Zarządzaj katalog;;Gestioneaza registru;Каталог управления;නාමාවලිය කළමනාකරණය කරන්න;Rehberi yönet;Управління каталогом;管理目录
directory-screen.modals.import-persons.button.default;استيراد الآن;Jetzt importieren;Εισαγωγή τώρα;Import now;Importar ahora;Tuo nyt;Importer maintenant;Importa ora;今すぐインポート;Nu importeren;Import teraz;;Importa acum;Импорт сейчас;දැන් ආයාත කරන්න;Şimdi aktar ;Імпортуйте зараз;现在导入
directory-screen.modals.import-persons.button.importing;جارٍ الاستيراد ...;Importiere...;Εισαγωγή ...;Importing...;Importar...;Tuodaan ...;Importer...;Importazione...;インポートしています...;Importeren...;Importowanie...;;Se importă ...;Импорт...;ආනයනය ...;Aktarılıyor ...;Імпорт...;导入中...
directory-screen.modals.import-persons.headline;استيراد الأشخاص;Personen importieren;Εισαγωγή επαφών;Import persons;Personas importadas;Tuo yhteystietoja;Importation de personnes;Importazione di persone;連絡先をインポート;Importeren van personen;importować osoby;;Import persoane;импортируемые лица;පුද්ගලයින් ආනයනය කරන්න;Kişileri aktar ;Імпорт осіб;导入联系人
directory-screen.modals.import-persons.text;قم باستيراد الأشخاص من دفتر الهاتف الخاص بك حتى تتمكن من البدء على الفور. يتم تخزين جميع الأشخاص محليا. لا يتم تتبع أو مشاركة البيانات.;Importiere Personen aus deinem Telefonbuch, damit du direkt loslegen kannst. Alle deine Personen werden lokal gespeichert. Keine Daten werden getrackt oder weitergegeben.;Κάνε εισαγωγή επαφών από τον τηλεφωνικό σου κατάλογο, ώστε να μπορείς να ξεκινήσεις αμέσως. Όλες οι επαφές σου αποθηκεύονται σε τοπικό επίπεδο. Δεν παρακολουθούνται και δεν κοινοποιούνται δεδομένα.;Import persons from your phone book so that you can start right away. All your persons are stored locally. No data is tracked or shared.;Importa contactos de tu agenda telefónica para que puedas empezar de inmediato. Todos tus contactos están almacenadas localmente. No se rastreará ni se compartirá ningún dato.;Tuo yhteystietoja puhelimestasi, jotta voit aloittaa heti. Kaikki yhteystiedot varastoidaan paikallisesti. Tietoja ei seurata tai jaeta.;Importe des personnes de ton annuaire téléphonique afin de pouvoir commencer immédiatement. Toutes tes personnes sont stockées sur place. Aucune donnée n'est tracée ou partagée.;Importare le persone dall'elenco telefonico in modo da poter iniziare subito. Tutte le vostre persone sono memorizzate localmente. I dati non vengono tracciati o condivisi.;電話帳から連絡先をインポートして、すぐに開始できるようにします。 すべての人はローカルに保存されます。 データは追跡または共有されません。;Importeer personen uit uw telefoonboek zodat u meteen kunt beginnen. Al uw personen worden lokaal opgeslagen. Er worden geen gegevens bijgehouden of gedeeld.;Importuj osoby z książki telefonicznej, aby móc od razu zacząć. Wszystkie Twoje osoby są przechowywane na miejscu. Żadne dane nie są śledzone ani udostępniane.;;Importa persoane din agenda telefonică pentru a putea începe imediat. Toate persoanele tale sunt stocate local. Nici o data nu este urmărită sau partajată.;Импортируйте людей из телефонной книги, чтобы начать уже сейчас. Все ваши контакты хранятся локально. Никакие данные не отслеживаются и не передаются.;ඔබගේ දුරකථන පොතෙන් පුද්ගලයින් ආනයනය කරන්න එවිට ඔබට වහාම ආරම්භ කළ හැකිය. ඔබගේ සියලු පුද්ගලයින් දේශීයව ගබඩා කර ඇත. දත්ත කිසිවක් නිරීක්ෂණය කර හෝ බෙදාගෙන නොමැත.;Hemen başlayabilmeniz için kişileri telefon defterinizden aktarın. Tüm kişileriniz yerel olarak saklanır. Hiçbir veri izlenmez veya paylaşılmaz.;Імпортуйте осіб із телефонної книги, щоб ви могли розпочати роботу відразу. Усі ваші особи зберігаються на місцях. Жодні дані не відстежуються та не передаються.;从电话簿中导入联系人，以便您可以立即开始。 您所有的联系人都存储在本地。数据不会被跟踪或共享。
entries.locations.list.empty;لم تقم بإنشاء موقع حتى الآن. ابدأ الآن وأنشئ موقعك الأول.;Du hast noch keinen Ort angelegt. Beginne jetzt und erstelle deinen ersten Ort.;Δεν έχεις δημιουργήσει καμία τοποθεσία εως τώρα. Ξεκίνησε τώρα και δημιούργησε την πρώτη σου τοποθεσία.;You haven’t created a location yet. Start now and create your first location.;Aún no has creado una ubicación. Empieza ahora y crea tu primera ubicación.;Et ole vielä luonut sijaintia. Aloita nyt ja luo ensimmäinen sijaintisi.;Tu n'as pas encore créé de lieu. Commence maintenant et crée ton premier lieu.;Non hai ancora creato un luogo. Inizia ora e crea la tua prima posizione.;場所がまだ作成されていません。 今から開始し、最初の場所を作成してください。;Er is nog geen locatie toegevoegt. Voeg nu jouw eerste locatie toe;Nie stworzyłeś jeszcze lokalizacji. Zacznij teraz i stwórz swoją pierwszą lokalizację.;;Încă nu ai creat o locație. Începe acum și creaza prima locație.;Ты еще не создал местоположение. Начни сейчас и создай своё первое местоположение.;ඔබ තවම ස්ථානයක් නිර්මාණය කර නැත. දැන් ආරම්භ කර ඔබේ පළමු ස්ථානය සාදන්න.;Henüz bir konum oluşturmadınız. Şimdi başlayın ve ilk konumunuzu oluşturun.;Ви ще не створили місцезнаходження. Почніть зараз і створіть своє перше місце розташування.;您尚未创建新地点。 现在开始并创建您的第一个地点。
entries.locations.list.new;موقع جديد;Neuer Ort;Νέα τοποθεσία;New location;Nueva ubicación;Uusi sijainti;Nouvelle localisation;Nuova posizione;新しい場所;Nieuwe locatie;Nowa lokalizacja;;Locație nouă;Новое местоположение;නව ස්ථානය;Yeni konum;Нове місцезнаходження;新地点
entries.modals.new-location.button;أضف;Hinzufügen;Προσθήκη;Add;Añadir;Lisää;Ajouter;Aggiungi;追加;Toevoegen;Dodaj;;Adăuga;Добавить;එකතු කරන්න;Ekle;Додайте;添加
entries.modals.new-location.headline;موقع جديد;Neuer Ort;Νέα τοποθεσία;New location;Nueva ubicación;Uusi sijainti;Nouvelle localisation;Nuova posizione;新しい場所;Nieuwe locatie;Nowa lokalizacja;;Locație nouă;Новое место;නව ස්ථානය;Yeni konum;Нове місцезнаходження;新地点
entries.modals.new-location.placeholder.description;وصف;Beschreibung;Περιγραφή;Description;Descripción;Kuvaus;Description;Descrizione;説明;Beschrijving;Opis;;Descriere;Описание;විස්තර;Tanım ;Опис;描述
entries.modals.new-location.placeholder.title;عنوان;Titel;Τίτλος;Title;Título;Otsikko;Titre;Titolo;タイトル;Titel;Tytuł;;Titlu;Название;ශීර්ෂය;Başlık;Назва;标题
entries.modals.new-person.button;أضف;Hinzufügen;Προσθήκη;Add;Añadir;Lisää;Ajouter;Aggiungi;追加;Toevoegen;Dodaj;;Adăuga;Добавить;එකතු කරන්න;Ekle;Додайте;添加
entries.modals.new-person.headline;شخص جديد;Neue Person;Νέα επαφή;New person;Nueva persona;Uusi yhteystieto;Nouvelle personne;Nuova persona;新しい連絡先;Nieuwe persoon;Nowa osoba;;Persoană nouă;Новый человек;නව පුද්ගලයෙක්;Yeni kişi;Нова людина;新联系人
entries.modals.new-person.placeholder.name;اسم;Vorname Nachname;Όνομα;Name;Nombre;Nimi;Nom;Nome;名前;Naam;Nazwa;;Nume;Имя;නම;Adı ve soyadı;Ім'я;姓名
entries.modals.new-person.placeholder.phone-number;هاتف;Telefon;Τηλέφωνο;Phone;Teléfono;Puhelin;Téléphone;Telefono;電話;Nummer;Telefon;;Telefon;Телефон;දුරකතන අංකය;Telefon;Телефон;电话
entries.modals.select-location.button;تحديد;Auswählen;Επιλογή;Select;Seleccionar;Valitse;Sélectionne;Selezionare;選択する;Selecteren;Wybierz;;Selecteaza;Выберите;තෝරන්න;Seçmek;Виберіть;选项
entries.modals.select-location.headline;اختر موقعا;Ort auswählen;Επέλεξε τοποθεσία;Select location;Selecciona el lugar;Valitse sijainti;Sélectionne un lieu;Selezionare la posizione;場所を選択;Selecteer een locatie;Wybierz lokalizację;;Selecteaza locația;Выбрать местоположение;ස්ථානය තෝරන්න;Konum seçin;Виберіть місцеположення;选择地点
entries.modals.select-location.placeholder.description;وصف;Beschreibung;Περιγραφή;Description;Descripción;Kuvaus;Description;Descrizione;説明;Beschrijving;Opis;;Descriere;Описание;විස්තර;Tanım ;Опис;描述
entries.modals.update-location.button;حفظ;Speichern;Αποθήκευση;Save;Guardar;Tallenna;Sauvegarder;Salva;セーブ;Opslaan;Zapisz;;Salveaza;Сохранить;සුරකින්න;Kayıt etmek;Зберегти;保存
entries.modals.update-location.headline;عدل الموقع;Ort bearbeiten;Επεξεργασία τοποθεσίας;Edit location;Editar la ubicación;Muokkaa sijaintia;Modifier le lieu;Modifica posizione;場所を編集;Locatie wijzigen;Miejsce edycji;;Editeaza locația;Редактировать местоположение;ස්ථානය සංස්කරණය කරන්න;Konumunu düzenle;Редагувати місцеположення;修改地点
entries.modals.update-person.button;حفظ;Speichern;Αποθήκευση;Save;Guardar;Tallenna;Sauvegarder;Salva;セーブ;Opslaan;Zapisz;;Salveaza;Сохранить;සුරකින්න;Kayıt etmek;Зберегти;保存
entries.modals.update-person.headline;تحرير شخص;Person bearbeiten;Επεξεργασία προσώπου;Edit person;Editar persona;Muokkaa yhteystietoa;modifier la personne;modifica persona;連絡先を編集;Persoon wijzigen;osoba opracować;;Editează persoana;Редактор;පුද්ගල විස්තර සංස්කරණය කරන්න;Kişiyi düzenle;Редагувати особу;编辑联系人
entries.persons.list.empty;لم تقم بإنشاء شخص بعد. للبدء على الفور ، يمكنك استيراد الأشخاص من دليل الهاتف الخاص بك.;Du hast noch keine Person angelegt. Um direkt loszulegen, kannst du Personen aus deinem Telefonbuch importieren.;Δεν έχεις δημιουργήσει καμία επαφή εως τώρα. Για να ξεκινήσεις, μπορείς να εισάγεις άτομα από τον τηλεφωνικό σου κατάλογο.;You have not yet created a person. To get started right away, you can import persons from your phone book.;Aún no has creado una persona. Para empezar de inmediato, puedes importar personas de tu agenda telefónica.;Et ole vielä luonut yhteystietoa. Aloittaaksesi heti, voit tuoda yhteystietoja puhelinluettelosta.;Tu n'as pas encore créé une personne. Pour commencer tout de suite, tu peut importer des personnes à partir de ton annuaire téléphonique.;Non hai ancora creato una persona. Per iniziare subito, puoi importare persone dall'elenco telefonico.;連絡先はまだ追加されていません。 すぐに開始するには、電話帳から連絡先をインポートしてください。;Je hebt nog geen persoon toegevoegt. Om meteen aan de slag te gaan, importeer je contacten.;Jeszcze nie nakładeś osobe. Aby zacząć od razu, możesz importować osoby z książki telefonicznej.;;Nu ai creat o persoană. Pentru a începe imediat, poti importa persoane din agenda telefonică.;Ты еще не создал человека. Чтобы сразу приступить к работе, ты можешь импортировать людей из своей телефонной книги.;ඔබ තවම පුද්ගලයෙකු නිර්මාණය කර නැත. වහාම ආරම්භ කිරීම සඳහා, ඔබට ඔබගේ දුරකථන පොතෙන් පුද්ගලයින් ආනයනය කළ හැකිය.;Henüz bir kişi oluşturmadınız. Hemen başlamak için telefon defterinizden kişileri aktarabilirsiniz.;Ви ще не створили людину. Щоб розпочати роботу, ви можете імпортувати осіб із телефонної книги.;您尚未添加第一个联系人。从电话簿中导入联系人，以便您可以立即开始使用。
entries.persons.list.import.button;استيراد الآن;Jetzt importieren;Εισαγωγή τώρα;Import now;Importar ahora;Tuo nyt;Importer maintenant;Importa ora;今すぐインポート;Nu importeren;Importuj teraz;;Importa acum;Импорт сейчас;දැන් ආයාත කරන්න;Şimdi aktar ;Імпортуйте зараз;现在导入
entries.persons.list.new;شخص جديد;Neue Person;Νέα επαφή;New person;Nueva persona;Uusi yhteystieto;Nouvelle personne;Persona nuova;新しい連絡先;Nieuwe persoon;Nowa osoba;;Persoană nouă;Новый человек;නව පුද්ගලයෙක්;Yeni kişi;Нова людина;新联系人
entries.search.list.empty;لا يمكن العثور على شيء في بحثك.;Zu deiner Suche konnte nichts gefunden werden.;Δεν βρέθηκε τίποτα στην αναζήτησή σου.;Nothing could be found on your search.;No se pudo encontrar nada en su búsqueda.;Hakusi ei tuottanut tuloksia.;Rien n'a pu être trouvé lors de ta recherche.;Non è stato trovato nulla nella tua ricerca.;何も見つかりませんでした。;Geen resultaten gevonden;Nic nie znaleziono na twoich poszukiwaniach.;;Nu s-a putut găsi nimic în căutarea ta.;Ничего не было найдено при вашем поиске.;ඔබගේ සෙවුමෙන් කිසිවක් සොයාගත නොහැකි විය.;Aramanızda hiçbir şey bulunamadı.;Нічого не вдалося знайти при вашому пошуку.;没有搜索到相关内容。
entries.selection.add;إضافة تحديد;Auswahl hinzufügen;Προσθήκη επιλογής;Add selection;Añadir selección;Lisää valinta;Ajouter une sélection;Aggiungi selezione;選択を追加;Selectie toevoegen;Dodaj wybór;;Adăuga selecția;Добавить выбор;තේරීම එක් කරන්න;Seçim ekle;Додати вибір;添加选项
export-screen.coming-soon;قريبا!;Kommt bald!;Έρχεται συντομα!;Coming soon!;¡Pronto!;Tulossa pian!;Bientôt disponible!;In arrivo!;近日公開！;Binnenkort!;Już niedługo!;;In curand!;Скоро!;ළඟදීම!;Çok yakında!;Незабаром!;即将推出！
export-screen.content.section-1.headline;نظرة عامة;Deine Übersicht;Η σύνοψή σου;Your overview;Visión general;Yleiskatsauksesi;Ton aperçu;La tua panoramica;あなたの概況;Overzicht;Twój przegląd;;Privire de ansamblu;Ваш обзор;ඔබේ දළ විශ්ලේෂණය;Genel Bakış;Ваш огляд;您的概述
export-screen.content.section-1.text;بشكل جماعي يمكننا إعادة بناء مسارات العدوى عن طريق إبلاغ السلطات الصحية والأشخاص من حولك.;Zusammen können wir Infektionswege nachvollziehen, indem wir Gesundheitsbehörden und Menschen in deinem Umfeld informieren;Μαζί μπορούμε να κατανοήσουμε τις διαδρομές μόλυνσης ενημερώνοντας τις υγειονομικές αρχές και τους ανθρώπους γύρω σου.;Collectively we can reconstruct paths of infection by informing health authorities and the people around you.;Colectivamente podemos reconstruir las vías de infección informando a las autoridades sanitarias y a las personas de tu entorno.;Voimme yhdessä pyrkiä jäljittämään tartuntareitit ilmoittamalla niistä terveysviranomaisille ja ihmisille ympärilläsi.;Collectivement, nous pouvons reconstituer les voies d'infection en informant les autorités sanitaires et les personnes qui vous entourent.;Collettivamente possiamo ricostruire i percorsi dell'infezione informando le autorità sanitarie e le persone che ti circondano.;保健当局と周囲の人々に情報を提供することで、感染経路をまとめて再構築できます。;Door het informeren van ons omgeving en de zorginstantie kunne wij de infectiewegen reconstrueren;Wspólnie możemy odtworzyć drogi zakażenia, informując o tym władze zdrowotne i osoby z otoczenia.;;Impreuna putem reconstrui căile de infecție informând autoritățile medicale și persoanele din jurul tău.;Коллективно мы можем реконструировать пути заражения, информируя органы здравоохранения и окружающих вас людей.;සෞඛ්‍ය බලධාරීන් සහ ඔබ අවට සිටින පුද්ගලයින් දැනුවත් කිරීමෙන් අපට සාමූහිකව ආසාදන මාර්ග ප්‍රතිනිර්මාණය කළ හැකිය.;Toplu olarak, sağlık yetkililerini ve çevrenizdeki insanları bilgilendirerek enfeksiyon yollarını kavrayabiliriz.;Ми можемо відтворити шляхи зараження, інформуючи органи охорони здоров’я та людей навколо вас.;通过通知卫生局和您周围的人，我们可以共同追踪感染途径。
export-screen.content.section-2.headline;مع القوة الكبيرة تأتي مسؤولية كبيرة;Mit großer Macht kommt große Verantwortung;Με μεγάλη δύναμη έρχεται μεγάλη ευθύνη;With big power comes big responsibility;Un gran poder conlleva una gran responsabilidad;Suuri valta tuo mukanaan suuren vastuun;Un grand pouvoir s'accompagne d'une grande responsabilité;Da un grande potere derivano grandi responsabilità;大きな権力には大きな責任が伴います;Wie macht heeft , heeft ook grote verantwoordelijkheid;Z wielką siłą przychodzi duża odpowiedzialność;;Cu puterea mare vine responsabilitatea mare;С большой властью приходит большая ответственность;විශාල බලයක් සමඟ විශාල වගකීමක් පැමිණේ;Büyük güç büyük sorumluluk getirir;З великою владою настає велика відповідальність;权力越大，责任就越大
